Classe,formula
Haletos com Metais de Transição,BiSc2ZnCl3O3
Haletos com Metais de Transição,BiSc3ZnBr2O7
Haletos com Metais de Transição,BiScBr4SSb3Se4
Haletos com Metais de Transição,BiScI4S2
Haletos com Metais de Transição,BiZr3BrClN2
Haletos com Metais de Transição,BiZrI2S
Haletos com Metais de Transição,Ca2CuBr2Se2
Haletos com Metais de Transição,Ca2CuCl2O2
Haletos com Metais de Transição,Ca2CuCl2Te2
Haletos com Metais de Transição,Ca2CuF2O2
Haletos com Metais de Transição,Ca2CuF2S2
Haletos com Metais de Transição,Ca2CuI2O2
Haletos com Metais de Transição,Ca3Co2Br2S5
Haletos com Metais de Transição,Ca3Co2I2S5
Haletos com Metais de Transição,Ca3Cu2Br2O4
Haletos com Metais de Transição,Ca3Cu2Cl2S4
Haletos com Metais de Transição,Ca3Fe2I2S5
Haletos com Metais de Transição,Ca3Mn2Cl2S5
Haletos com Metais de Transição,Ca4Co2Cl2S6
Haletos com Metais de Transição,Ca4Mn2Cl2S6
Haletos com Metais de Transição,CaMnSrI2Se
Haletos com Metais de Transição,CaZnClIOS
Haletos com Metais de Transição,Cd2Br2Te2
Haletos com Metais de Transição,Cd2BrIS
Haletos com Metais de Transição,Cd2Cl2S2
Haletos com Metais de Transição,Cd2Cl2Se2
Haletos com Metais de Transição,Cd2Cu2Br2S2
Haletos com Metais de Transição,Cd2Cu2Br2Te2
Haletos com Metais de Transição,Cd2Cu2I2Te2
Haletos com Metais de Transição,Cd2F2O4Sb2
Haletos com Metais de Transição,Cd2F2S4Sb2
Haletos com Metais de Transição,Cd2K4F8
Haletos com Metais de Transição,Cd2SrBr2S2
Haletos com Metais de Transição,Cd4Br4O4
Haletos com Metais de Transição,Cd4Cs2Br6O6Se2
Haletos com Metais de Transição,Cd4Cs2Cl6S6Se2
Haletos com Metais de Transição,Cd4Cs2Cl6S6Te2
Haletos com Metais de Transição,Cd4Cs2F6O6Se2
Haletos com Metais de Transição,Cd4Cs2I6O6S2
Haletos com Metais de Transição,Cd4Cs2I6S6Te2
Haletos com Metais de Transição,Cd4K2Br6O8
Haletos com Metais de Transição,Cd4K2Br6S8
Haletos com Metais de Transição,Cd4K2F6O8
Haletos com Metais de Transição,Cd4K2I6O2S6
