feature,mi_score,mi_score_scaled
PymatgenData mean mendeleev_no,0.14333447893239182,0.258624112011033
MagpieData mean MendeleevNumber,0.14117945810694366,0.2547357220611892
MagpieData maximum NValence,0.1344751795978194,0.24263892519129754
PymatgenData minimum coefficient_of_linear_thermal_expansion,0.13353289499608767,0.24093872353570364
7-norm,0.13282994719137786,0.23967036680020437
DemlData mean atom_num,0.13183213861967857,0.2378699810330475
MagpieData mean Number,0.1307663295512782,0.23594689925997062
PymatgenData mean velocity_of_sound,0.13033038757588056,0.23516031178209845
10-norm,0.12994524805120822,0.23446538919047472
MagpieData range NUnfilled,0.1272458302253292,0.2295947220393142
DemlData std_dev melting_point,0.12707219545485327,0.22928142590384798
PymatgenData std_dev melting_point,0.12701198318374374,0.22917278250371245
DemlData mean atom_mass,0.12664992946544107,0.22851951455245778
PymatgenData mean atomic_mass,0.12664870733655675,0.22851730941661172
MagpieData mean AtomicWeight,0.1266312751477816,0.22848585582375702
DemlData std_dev row_num,0.12527617269008928,0.22604079046045422
PymatgenData std_dev row,0.12476842781359032,0.22512464614688238
MagpieData mean GSvolume_pa,0.1245181044649879,0.22467297775397277
MagpieData maximum NUnfilled,0.12424282717094348,0.22417628396292325
MagpieData avg_dev NdValence,0.12406193422537726,0.22384989161291377
PymatgenData maximum bulk_modulus,0.1210586030187466,0.21843086143835092
MagpieData minimum NdValence,0.12099935100356807,0.21832395066625648
MagpieData mean MeltingT,0.12023027733593405,0.2169362804012623
PymatgenData mean melting_point,0.11916557769372282,0.21501520041006755
DemlData mean melting_point,0.11915772858430884,0.21500103794917616
PymatgenData std_dev thermal_conductivity,0.1190597771705324,0.21482430031007604
DemlData mean boiling_point,0.1175381842458938,0.21207882956285584
MagpieData avg_dev NdUnfilled,0.11726820250356207,0.21159169074678166
MagpieData mode NdValence,0.11622714746079477,0.20971327364856696
MagpieData mean CovalentRadius,0.11425394027361602,0.20615293729126524
PymatgenData mean coefficient_of_linear_thermal_expansion,0.11424900911614166,0.2061440398073347
MagpieData avg_dev MeltingT,0.11353116345890246,0.2048488022828586
PymatgenData mean thermal_conductivity,0.11183850594414935,0.20179467287901634
PymatgenData minimum bulk_modulus,0.10935785480027604,0.19731873516973708
PymatgenData std_dev bulk_modulus,0.10806271350322838,0.19498186011795166
PymatgenData maximum velocity_of_sound,0.10778636362241478,0.19448323101585346
MagpieData avg_dev NValence,0.1070780556177171,0.1932052026579198
MagpieData maximum NdUnfilled,0.10700003808733571,0.193064432518966
MagpieData range NdUnfilled,0.10689735141305112,0.19287915086063767
DemlData mean heat_fusion,0.10682304365726658,0.19274507441581817
MagpieData mean NsUnfilled,0.10640675525317578,0.19199394865982156
PymatgenData mean bulk_modulus,0.10524050100070248,0.18988962963852546
MagpieData mean NsValence,0.1051720922456778,0.1897661969958437
avg s valence electrons,0.10481487404476875,0.18912165396131075
DemlData minimum heat_cap,0.10350725768753355,0.18676226966131573
PymatgenData std_dev coefficient_of_linear_thermal_expansion,0.09709505789834516,0.1751924820647222
MagpieData avg_dev Row,0.09630389884450707,0.17376496225732907
PymatgenData range electrical_resistivity,0.0953793381589152,0.17209674056989896
PymatgenData maximum electrical_resistivity,0.09533447070428958,0.17201578443361426
PymatgenData maximum coefficient_of_linear_thermal_expansion,0.09454358689155873,0.17058876125471886
MagpieData mean NdUnfilled,0.093223385288149,0.16820666889354713
PymatgenData maximum atomic_radius,0.09261935488605966,0.16711679276931252
DemlData maximum atom_radius,0.09252688297819,0.16694994202107047
MagpieData mode NUnfilled,0.0917749543602624,0.16559320725246718
MagpieData avg_dev NsValence,0.08917622998793284,0.16090422531203555
DemlData std_dev boiling_point,0.08821049973466177,0.15916171973309368
DemlData mean electric_pol,0.08744645705768228,0.1577831270850152
MagpieData maximum Column,0.0818053776878036,0.14760470278902446
DemlData maximum col_num,0.0818053776878036,0.14760470278902446
PymatgenData maximum group,0.08176192965165519,0.14752630776605996
MagpieData maximum NpValence,0.08167306700184862,0.1473659693459649
MagpieData range NValence,0.08087634428457502,0.14592841079893104
MagpieData range NdValence,0.0777121741337603,0.14021917250817573
MagpieData mode NpUnfilled,0.07699641438428984,0.13892769867020718
MagpieData avg_dev NsUnfilled,0.07689900410573092,0.1387519374229435
DemlData std_dev GGAU_Etot,0.0751329544877084,0.13556538372260227
